MeanDNE.Apex,MedianDNE.Apex,IQRDNE.Apex,TotalDNE.TotalPolygonFaces,MedianDNE.Whole,IQRDNE.Whole ,MeanDNE.Convex,MeanDNE.Concave,Proportion.DNEunder0.0001,Proportion.DNEover0.6
0.028441 ,0.021436 ,0.017659 ,0.018764 ,0.009843 ,0.021263 ,0.024987 ,0.023435 ,0.007228 ,0.001565 
0.033536 ,0.012692 ,0.020200 ,0.018943 ,0.006095 ,0.010329 ,0.019988 ,0.015420 ,0.009432 ,0.001706 
0.031521 ,0.011988 ,0.025288 ,0.022354 ,0.004689 ,0.014710 ,0.017253 ,0.016752 ,0.008132 ,0.001597 
0.036138 ,0.010513 ,0.023151 ,0.023545 ,0.013543 ,0.014742 ,0.015544 ,0.023525 ,0.004319 ,0.001634 
0.047305 ,0.021479 ,0.026786 ,0.020492 ,0.004877 ,0.030284 ,0.022369 ,0.025054 ,0.004974 ,0.001332 
0.021651 ,0.017526 ,0.020903 ,0.026179 ,0.004100 ,0.008344 ,0.023779 ,0.028446 ,0.004280 ,0.001924 
0.027513 ,0.035131 ,0.024376 ,0.021090 ,0.007709 ,0.013999 ,0.023833 ,0.017750 ,0.005121 ,0.002014 
0.034572 ,0.009488 ,0.026214 ,0.016357 ,0.009845 ,0.009904 ,0.010772 ,0.024539 ,0.005596 ,0.001121 
0.032765 ,0.011452 ,0.021859 ,0.026035 ,0.010035 ,0.017796 ,0.020064 ,0.025685 ,0.004132 ,0.002561 
0.018765 ,0.020197 ,0.020132 ,0.013496 ,0.007639 ,0.014531 ,0.018752 ,0.020572 ,0.004895 ,0.000658 
0.024881 ,0.010666 ,0.025844 ,0.027451 ,0.007151 ,0.016733 ,0.016505 ,0.014790 ,0.005210 ,0.002239 
0.016644 ,0.015372 ,0.024589 ,0.020887 ,0.002719 ,0.015854 ,0.018702 ,0.022398 ,0.009134 ,0.001651 
0.032545 ,0.018123 ,0.024135 ,0.014229 ,0.005177 ,0.012383 ,0.019490 ,0.022297 ,0.005105 ,0.001545 
0.029841 ,0.010427 ,0.024206 ,0.021382 ,0.006132 ,0.011325 ,0.014779 ,0.020862 ,0.006123 ,0.000871 
0.031130 ,0.011330 ,0.022527 ,0.011043 ,0.003717 ,0.014320 ,0.022563 ,0.022089 ,0.006238 ,0.000781 
0.031238 ,0.018905 ,0.031239 ,0.028601 ,0.013327 ,0.023151 ,0.018005 ,0.028368 ,0.006851 ,0.002237 
0.018428 ,0.018702 ,0.016673 ,0.023588 ,0.005519 ,0.024861 ,0.019079 ,0.020121 ,0.004114 ,0.001953 
0.022635 ,0.016205 ,0.020607 ,0.014135 ,0.006877 ,0.015753 ,0.020214 ,0.015002 ,0.004873 ,0.000654 
0.045507 ,0.020135 ,0.041235 ,0.013577 ,0.003925 ,0.028431 ,0.019250 ,0.017982 ,0.005157 ,0.001486 
0.042692 ,0.008510 ,0.016584 ,0.014127 ,0.010526 ,0.014384 ,0.016259 ,0.013217 ,0.008385 ,0.002354 
0.030157 ,0.016799 ,0.037451 ,0.023096 ,0.017454 ,0.014326 ,0.021330 ,0.015465 ,0.006543 ,0.001118 
0.040214 ,0.009657 ,0.032284 ,0.014694 ,0.007228 ,0.009228 ,0.015299 ,0.014531 ,0.004709 ,0.002223 
0.034150 ,0.015426 ,0.035121 ,0.028431 ,0.008841 ,0.017170 ,0.017731 ,0.023061 ,0.006137 ,0.001868 
0.037998 ,0.017929 ,0.035125 ,0.015435 ,0.006484 ,0.019458 ,0.019075 ,0.017544 ,0.006801 ,0.000254 
0.043562 ,0.011354 ,0.018134 ,0.023135 ,0.012104 ,0.019960 ,0.023547 ,0.019054 ,0.005912 ,0.002163 
0.021053 ,0.012421 ,0.036764 ,0.019448 ,0.010966 ,0.007703 ,0.019355 ,0.021968 ,0.005125 ,0.001546 
0.032511 ,0.014983 ,0.033706 ,0.024321 ,0.011483 ,0.022233 ,0.019285 ,0.016816 ,0.003231 ,0.001297 
0.030154 ,0.016545 ,0.027435 ,0.017651 ,0.006541 ,0.013543 ,0.019924 ,0.020334 ,0.006213 ,0.001635 
0.012344 ,0.009717 ,0.020627 ,0.032118 ,0.010669 ,0.025237 ,0.020260 ,0.025265 ,0.006409 ,0.002298 
0.040014 ,0.010374 ,0.018435 ,0.031359 ,0.008435 ,0.020398 ,0.020598 ,0.021172 ,0.005023 ,0.001543 
0.039843 ,0.010190 ,0.041313 ,0.021596 ,0.007682 ,0.016055 ,0.016899 ,0.015434 ,0.004591 ,0.001325 
0.045067 ,0.014550 ,0.027844 ,0.021551 ,0.008670 ,0.025172 ,0.024124 ,0.024784 ,0.005212 ,0.001465 
0.034303 ,0.008507 ,0.018428 ,0.027513 ,0.005794 ,0.026219 ,0.021803 ,0.025475 ,0.006213 ,0.001898 
0.033570 ,0.018432 ,0.022512 ,0.025425 ,0.007571 ,0.025216 ,0.020623 ,0.022355 ,0.005123 ,0.001988 
0.030564 ,0.007304 ,0.022000 ,0.024139 ,0.008744 ,0.019725 ,0.019962 ,0.020940 ,0.003466 ,0.001705 
0.028239 ,0.012459 ,0.017676 ,0.027494 ,0.005313 ,0.030544 ,0.018421 ,0.020354 ,0.003255 ,0.001869 
0.050599 ,0.017224 ,0.042884 ,0.035290 ,0.008870 ,0.028440 ,0.020798 ,0.028680 ,0.005404 ,0.001085 
0.047983 ,0.017824 ,0.041330 ,0.029513 ,0.013125 ,0.012297 ,0.021927 ,0.031205 ,0.005132 ,0.002132 
0.030941 ,0.014422 ,0.031196 ,0.016785 ,0.008585 ,0.027541 ,0.017637 ,0.022289 ,0.004291 ,0.002325 
0.038468 ,0.017151 ,0.020136 ,0.014354 ,0.010195 ,0.017987 ,0.022591 ,0.021457 ,0.004893 ,0.001252 
