Age,MeanDNE.Apex,MedianDNE.Apex,IQRDNE.Apex,TotalDNE.TotalPolygonFaces,MedianDNE.Whole,IQRDNE.Whole,MeanDNE.Convex,MeanDNE.Concave,Proportion.DNEunder0.0001,Proportion.DNEover0.6,Population
60,0.037117 ,0.008814 ,0.027974 ,0.025894 ,0.007885 ,0.023142 ,0.021827 ,0.025032 ,0.004878 ,0.001703 ,European
60,0.028459 ,0.012883 ,0.030744 ,0.027085 ,0.009658 ,0.023384 ,0.018581 ,0.019186 ,0.004992 ,0.001704 ,European
75,0.045117 ,0.014753 ,0.027405 ,0.030688 ,0.006965 ,0.024930 ,0.021812 ,0.024926 ,0.004542 ,0.001843 ,European
75,0.034535 ,0.014247 ,0.030950 ,0.028520 ,0.009045 ,0.027186 ,0.020043 ,0.021543 ,0.004673 ,0.001997 ,European
79,0.038681 ,0.017108 ,0.031633 ,0.026925 ,0.010418 ,0.024864 ,0.023718 ,0.027891 ,0.004378 ,0.001830 ,European
79,0.042979 ,0.012042 ,0.036781 ,0.025104 ,0.010050 ,0.022758 ,0.018382 ,0.018501 ,0.004523 ,0.002241 ,European
86,0.041587 ,0.013519 ,0.041813 ,0.029828 ,0.010741 ,0.025123 ,0.021385 ,0.023598 ,0.004621 ,0.001779 ,European
70,0.037310 ,0.014225 ,0.033696 ,0.024481 ,0.009569 ,0.022108 ,0.022840 ,0.026974 ,0.004243 ,0.001726 ,European
70,0.043667 ,0.013663 ,0.026166 ,0.027370 ,0.009827 ,0.020547 ,0.024576 ,0.029344 ,0.004562 ,0.001719 ,European
79,0.040513 ,0.016548 ,0.035220 ,0.029350 ,0.010780 ,0.025372 ,0.021797 ,0.024859 ,0.004277 ,0.001657 ,European
79,0.041285 ,0.014804 ,0.036269 ,0.028471 ,0.011018 ,0.023868 ,0.023734 ,0.027961 ,0.004445 ,0.002148 ,European
68,0.033705 ,0.011901 ,0.027442 ,0.021948 ,0.009627 ,0.029274 ,0.021855 ,0.025125 ,0.004976 ,0.001994 ,European
68,0.041119 ,0.012898 ,0.031182 ,0.027318 ,0.008271 ,0.021729 ,0.023074 ,0.027326 ,0.004169 ,0.001785 ,European
68,0.043076 ,0.013649 ,0.030753 ,0.020853 ,0.008648 ,0.025083 ,0.022123 ,0.025645 ,0.004776 ,0.001785 ,European
68,0.043181 ,0.013226 ,0.033668 ,0.020546 ,0.008444 ,0.021697 ,0.022424 ,0.025971 ,0.004501 ,0.002018 ,European
46,0.031265 ,0.011774 ,0.026565 ,0.017495 ,0.007068 ,0.018394 ,0.020297 ,0.021945 ,0.007008 ,0.001283 ,European
46,0.032797 ,0.012879 ,0.018179 ,0.022849 ,0.008103 ,0.019479 ,0.022781 ,0.026731 ,0.005346 ,0.001288 ,European
72,0.031102 ,0.013087 ,0.023837 ,0.025697 ,0.009527 ,0.023193 ,0.024963 ,0.029958 ,0.004291 ,0.001818 ,European
72,0.037797 ,0.012434 ,0.028770 ,0.023588 ,0.010288 ,0.021976 ,0.022665 ,0.026443 ,0.004252 ,0.001937 ,European
68,0.033860 ,0.013094 ,0.023655 ,0.020716 ,0.009636 ,0.022566 ,0.021586 ,0.023995 ,0.004732 ,0.001446 ,European
68,0.034865 ,0.013951 ,0.027983 ,0.024999 ,0.009114 ,0.021742 ,0.020626 ,0.022605 ,0.005227 ,0.001888 ,European
80,0.036645 ,0.012330 ,0.029282 ,0.027665 ,0.008953 ,0.027551 ,0.023096 ,0.027348 ,0.004363 ,0.001951 ,European
80,0.032415 ,0.013265 ,0.028831 ,0.030594 ,0.011680 ,0.024420 ,0.023958 ,0.028233 ,0.004579 ,0.001684 ,European
52,0.037685 ,0.012736 ,0.028995 ,0.019395 ,0.008237 ,0.019410 ,0.018101 ,0.017704 ,0.004574 ,0.001365 ,European
52,0.027353 ,0.009825 ,0.023012 ,0.014926 ,0.008571 ,0.016811 ,0.020596 ,0.022555 ,0.004555 ,0.001390 ,European
76,0.037676 ,0.015319 ,0.031129 ,0.028390 ,0.010552 ,0.017227 ,0.021841 ,0.025098 ,0.004653 ,0.002040 ,European
76,0.034756 ,0.013208 ,0.028466 ,0.028915 ,0.010755 ,0.025025 ,0.021851 ,0.025109 ,0.005018 ,0.001798 ,European
49,0.027067 ,0.011629 ,0.023259 ,0.018255 ,0.007938 ,0.018463 ,0.015298 ,0.013819 ,0.005184 ,0.001294 ,European
49,0.030197 ,0.010675 ,0.025646 ,0.017240 ,0.008040 ,0.016771 ,0.020130 ,0.021627 ,0.005417 ,0.000713 ,European
20,0.029207 ,0.009617 ,0.020527 ,0.018490 ,0.006395 ,0.013818 ,0.017086 ,0.015695 ,0.006943 ,0.000738 ,European
