MeanDNE.Apex,MedianDNE.Apex,IQRDNE.Apex,TotalDNE.TotalPolygonFaces,MedianDNE.Whole,IQRDNE.Whole ,MeanDNE.Convex,MeanDNE.Concave,Proportion.DNEunder0.0001,Proportion.DNEover0.6
0.028394 ,0.018738 ,0.017498 ,0.025849 ,0.007558 ,0.020508 ,0.024728 ,0.020739 ,0.007333 ,0.001349 
0.033570 ,0.010390 ,0.020599 ,0.018680 ,0.005596 ,0.012317 ,0.017870 ,0.015972 ,0.007565 ,0.001747 
0.030924 ,0.009855 ,0.025068 ,0.015123 ,0.004559 ,0.013299 ,0.016379 ,0.017110 ,0.006914 ,0.001445 
0.036005 ,0.008116 ,0.021023 ,0.021160 ,0.010221 ,0.013661 ,0.016364 ,0.023923 ,0.004328 ,0.001517 
0.047902 ,0.019265 ,0.026839 ,0.020851 ,0.005359 ,0.028764 ,0.024026 ,0.025357 ,0.004872 ,0.001376 
0.018362 ,0.016915 ,0.021093 ,0.026525 ,0.004513 ,0.010220 ,0.022037 ,0.027692 ,0.004551 ,0.001908 
0.031380 ,0.014042 ,0.024094 ,0.021317 ,0.007680 ,0.014346 ,0.025629 ,0.017620 ,0.004704 ,0.001879 
0.034556 ,0.010131 ,0.027326 ,0.020383 ,0.004382 ,0.011297 ,0.012373 ,0.025860 ,0.005722 ,0.001059 
0.032804 ,0.010513 ,0.022116 ,0.026300 ,0.005967 ,0.016502 ,0.018284 ,0.025279 ,0.005470 ,0.002664 
0.030955 ,0.018552 ,0.023082 ,0.013409 ,0.007414 ,0.008244 ,0.020119 ,0.020662 ,0.005146 ,0.001443 
0.024561 ,0.010610 ,0.025781 ,0.023262 ,0.004685 ,0.017902 ,0.018067 ,0.014946 ,0.005099 ,0.002308 
0.016596 ,0.016206 ,0.024484 ,0.021041 ,0.002552 ,0.014382 ,0.017206 ,0.022048 ,0.008946 ,0.001699 
0.032037 ,0.013520 ,0.020686 ,0.013730 ,0.005089 ,0.013683 ,0.020081 ,0.021872 ,0.005123 ,0.001384 
0.031140 ,0.010132 ,0.023906 ,0.021641 ,0.008234 ,0.015856 ,0.015919 ,0.021395 ,0.005396 ,0.000703 
0.031659 ,0.012759 ,0.022613 ,0.011050 ,0.004243 ,0.014885 ,0.020834 ,0.022162 ,0.006356 ,0.000891 
0.038077 ,0.018493 ,0.031394 ,0.028594 ,0.013860 ,0.024412 ,0.019198 ,0.028440 ,0.006982 ,0.002234 
0.018494 ,0.019736 ,0.016932 ,0.023392 ,0.005199 ,0.025767 ,0.017281 ,0.020220 ,0.004192 ,0.002024 
0.022226 ,0.014556 ,0.020643 ,0.019048 ,0.004930 ,0.018097 ,0.021369 ,0.015469 ,0.004605 ,0.000464 
0.045345 ,0.013505 ,0.031615 ,0.016276 ,0.004176 ,0.021784 ,0.017115 ,0.018047 ,0.004923 ,0.001453 
0.042238 ,0.010459 ,0.025186 ,0.013861 ,0.010676 ,0.017937 ,0.017048 ,0.013390 ,0.008392 ,0.002031 
0.039239 ,0.017919 ,0.040511 ,0.023586 ,0.011688 ,0.012553 ,0.021889 ,0.015646 ,0.007322 ,0.001906 
0.034899 ,0.007674 ,0.032050 ,0.014906 ,0.007848 ,0.011160 ,0.017040 ,0.016430 ,0.004631 ,0.002100 
0.033831 ,0.013471 ,0.024292 ,0.022047 ,0.008571 ,0.017831 ,0.016795 ,0.022897 ,0.006412 ,0.001098 
0.038512 ,0.020248 ,0.026018 ,0.015837 ,0.009557 ,0.021226 ,0.020620 ,0.012528 ,0.007097 ,0.000339 
0.043266 ,0.015323 ,0.018502 ,0.022468 ,0.012036 ,0.018110 ,0.024514 ,0.018781 ,0.005642 ,0.002287 
0.021447 ,0.010233 ,0.036425 ,0.019467 ,0.010368 ,0.007118 ,0.017528 ,0.021382 ,0.006807 ,0.001314 
0.031937 ,0.016254 ,0.033305 ,0.020714 ,0.011969 ,0.021659 ,0.017207 ,0.016036 ,0.003503 ,0.001141 
0.041794 ,0.009022 ,0.021068 ,0.020399 ,0.004072 ,0.011555 ,0.020766 ,0.020092 ,0.005293 ,0.001975 
0.021556 ,0.011645 ,0.020302 ,0.032485 ,0.010032 ,0.026439 ,0.019014 ,0.025289 ,0.006508 ,0.002309 
0.040106 ,0.011631 ,0.021132 ,0.030867 ,0.007663 ,0.019879 ,0.018615 ,0.021251 ,0.005903 ,0.001654 
0.039395 ,0.008460 ,0.034589 ,0.021141 ,0.007199 ,0.017704 ,0.016230 ,0.017346 ,0.004832 ,0.001602 
0.045486 ,0.016134 ,0.030524 ,0.021737 ,0.009055 ,0.024600 ,0.022530 ,0.024155 ,0.005368 ,0.001482 
0.034879 ,0.008437 ,0.018445 ,0.023905 ,0.005674 ,0.024536 ,0.023044 ,0.026110 ,0.005609 ,0.001450 
0.033857 ,0.010917 ,0.022335 ,0.025735 ,0.007179 ,0.023908 ,0.020323 ,0.022277 ,0.004540 ,0.001450 
0.030255 ,0.009435 ,0.021707 ,0.023698 ,0.008563 ,0.021610 ,0.018936 ,0.020159 ,0.003169 ,0.001529 
0.028489 ,0.010543 ,0.017659 ,0.027583 ,0.003595 ,0.021870 ,0.017476 ,0.018590 ,0.003054 ,0.002006 
0.050920 ,0.015398 ,0.042665 ,0.035175 ,0.009133 ,0.029267 ,0.021426 ,0.029079 ,0.005333 ,0.001009 
0.048011 ,0.016654 ,0.041422 ,0.027194 ,0.009333 ,0.014327 ,0.021439 ,0.030863 ,0.004357 ,0.001221 
0.030886 ,0.015399 ,0.031384 ,0.017308 ,0.008861 ,0.024390 ,0.018135 ,0.021849 ,0.004298 ,0.002818 
0.035103 ,0.015956 ,0.026645 ,0.017171 ,0.009874 ,0.019979 ,0.021251 ,0.021150 ,0.004752 ,0.001283 
0.043377 ,0.012549 ,0.025706 ,0.024821 ,0.011738 ,0.023059 ,0.021340 ,0.025056 ,0.002988 ,0.002413 
0.031606 ,0.017333 ,0.027396 ,0.026291 ,0.007882 ,0.023179 ,0.020207 ,0.014556 ,0.005773 ,0.001182 
0.049137 ,0.021453 ,0.034456 ,0.020435 ,0.014061 ,0.019703 ,0.022237 ,0.031014 ,0.004671 ,0.001273 
0.039039 ,0.009243 ,0.034147 ,0.024041 ,0.007768 ,0.021013 ,0.025414 ,0.035910 ,0.002747 ,0.002434 
0.027790 ,0.011095 ,0.023289 ,0.021606 ,0.010514 ,0.024877 ,0.018490 ,0.029743 ,0.003262 ,0.002181 
0.040557 ,0.021421 ,0.042580 ,0.021717 ,0.014225 ,0.023725 ,0.020150 ,0.028014 ,0.002989 ,0.001188 
0.048728 ,0.009699 ,0.025684 ,0.005321 ,0.010107 ,0.017556 ,0.021198 ,0.025740 ,0.003216 ,0.002017 
0.044916 ,0.012975 ,0.016012 ,0.008533 ,0.008239 ,0.023746 ,0.025391 ,0.032297 ,0.005966 ,0.002394 
0.035180 ,0.010195 ,0.029732 ,0.021342 ,0.012693 ,0.021298 ,0.024098 ,0.018405 ,0.002419 ,0.002145 
0.034501 ,0.016791 ,0.027165 ,0.026256 ,0.007186 ,0.015469 ,0.029544 ,0.021683 ,0.003167 ,0.002763 
0.038736 ,0.010541 ,0.028149 ,0.024835 ,0.012605 ,0.020161 ,0.021234 ,0.030507 ,0.005914 ,0.002132 
0.020146 ,0.010954 ,0.028563 ,0.026569 ,0.009354 ,0.017528 ,0.021477 ,0.029183 ,0.004349 ,0.002151 
0.033896 ,0.011472 ,0.029887 ,0.023447 ,0.014141 ,0.032493 ,0.023424 ,0.014871 ,0.002331 ,0.002075 
0.040078 ,0.011198 ,0.033043 ,0.010535 ,0.008768 ,0.026930 ,0.021407 ,0.025065 ,0.002189 ,0.001956 
0.020864 ,0.012316 ,0.034107 ,0.024783 ,0.004969 ,0.014823 ,0.020171 ,0.021675 ,0.003513 ,0.001054 
0.028363 ,0.008844 ,0.031466 ,0.027821 ,0.010477 ,0.024408 ,0.019289 ,0.031235 ,0.006787 ,0.002496 
0.040856 ,0.017982 ,0.034101 ,0.040965 ,0.012346 ,0.028706 ,0.020448 ,0.031396 ,0.002937 ,0.001608 
0.023334 ,0.007244 ,0.027679 ,0.026731 ,0.004602 ,0.024298 ,0.021517 ,0.032122 ,0.003910 ,0.001979 
0.036558 ,0.014578 ,0.036560 ,0.028904 ,0.011925 ,0.027758 ,0.016872 ,0.035000 ,0.003094 ,0.002118 
0.040569 ,0.013257 ,0.025760 ,0.019027 ,0.011616 ,0.022095 ,0.020644 ,0.031686 ,0.004270 ,0.001553 
0.055236 ,0.009761 ,0.025902 ,0.031761 ,0.004308 ,0.026630 ,0.017426 ,0.031304 ,0.005877 ,0.002370 
0.022884 ,0.014356 ,0.045187 ,0.021576 ,0.013978 ,0.020694 ,0.023030 ,0.030255 ,0.006782 ,0.002931 
0.025430 ,0.012332 ,0.028784 ,0.028910 ,0.011542 ,0.026932 ,0.024055 ,0.031436 ,0.002677 ,0.002297 
0.053486 ,0.019685 ,0.046078 ,0.018761 ,0.014869 ,0.020035 ,0.016294 ,0.020547 ,0.003741 ,0.001442 
0.042338 ,0.024003 ,0.031061 ,0.034090 ,0.009323 ,0.025636 ,0.020287 ,0.027611 ,0.002737 ,0.003439 
0.048574 ,0.014779 ,0.025892 ,0.019858 ,0.009293 ,0.020802 ,0.023358 ,0.020975 ,0.004645 ,0.001409 
0.028316 ,0.012832 ,0.021410 ,0.044709 ,0.011481 ,0.027220 ,0.019647 ,0.031710 ,0.001995 ,0.001330 
0.051015 ,0.011739 ,0.026978 ,0.023778 ,0.012951 ,0.017819 ,0.026618 ,0.015798 ,0.003204 ,0.001191 
0.039671 ,0.023965 ,0.028198 ,0.023386 ,0.009951 ,0.027366 ,0.022845 ,0.030413 ,0.003824 ,0.001507 
0.046023 ,0.012106 ,0.023661 ,0.036887 ,0.004691 ,0.032521 ,0.028379 ,0.037500 ,0.004149 ,0.001665 
0.029768 ,0.021797 ,0.040691 ,0.029450 ,0.007243 ,0.023696 ,0.024804 ,0.030449 ,0.003432 ,0.002263 
0.053001 ,0.021236 ,0.025813 ,0.026846 ,0.014117 ,0.023285 ,0.024080 ,0.029746 ,0.003148 ,0.001603 
0.040782 ,0.015467 ,0.024506 ,0.026255 ,0.011272 ,0.025407 ,0.023264 ,0.032876 ,0.003354 ,0.003063 
0.046598 ,0.019368 ,0.029153 ,0.035643 ,0.013540 ,0.031468 ,0.026163 ,0.025741 ,0.003892 ,0.001092 
0.043104 ,0.011000 ,0.032177 ,0.040524 ,0.010476 ,0.029251 ,0.020860 ,0.032368 ,0.004799 ,0.002923 
0.058266 ,0.016182 ,0.040032 ,0.033858 ,0.012555 ,0.027214 ,0.021321 ,0.032033 ,0.004318 ,0.001785 
0.047679 ,0.019931 ,0.041014 ,0.044190 ,0.013460 ,0.032442 ,0.027668 ,0.031712 ,0.003758 ,0.002045 
0.051222 ,0.016823 ,0.035713 ,0.047067 ,0.010981 ,0.032504 ,0.029683 ,0.031925 ,0.004630 ,0.001464 
0.053222 ,0.010070 ,0.038987 ,0.035632 ,0.015997 ,0.031342 ,0.025381 ,0.031858 ,0.004310 ,0.002173 
0.051377 ,0.019207 ,0.039220 ,0.041644 ,0.012388 ,0.031057 ,0.025530 ,0.029177 ,0.003148 ,0.001919 
0.067757 ,0.017616 ,0.032081 ,0.037988 ,0.012051 ,0.041657 ,0.028451 ,0.030538 ,0.002944 ,0.004439 
0.038872 ,0.019071 ,0.032716 ,0.020316 ,0.013764 ,0.024486 ,0.021788 ,0.027481 ,0.004224 ,0.001146 
0.036377 ,0.017189 ,0.030249 ,0.042967 ,0.012390 ,0.031660 ,0.033171 ,0.036156 ,0.002437 ,0.004085 
0.051102 ,0.011478 ,0.038948 ,0.037647 ,0.011098 ,0.031364 ,0.026394 ,0.031874 ,0.003581 ,0.002645 
0.034966 ,0.014415 ,0.029493 ,0.025351 ,0.007946 ,0.024197 ,0.022692 ,0.023425 ,0.002478 ,0.001938 
0.064991 ,0.017244 ,0.027651 ,0.026846 ,0.017589 ,0.024871 ,0.024348 ,0.039702 ,0.002073 ,0.003586 
0.063957 ,0.018609 ,0.042335 ,0.046261 ,0.013927 ,0.035243 ,0.029684 ,0.037204 ,0.002539 ,0.003344 
0.054075 ,0.017022 ,0.027394 ,0.045152 ,0.009536 ,0.026807 ,0.032356 ,0.029948 ,0.003916 ,0.001261 
0.044911 ,0.014024 ,0.040764 ,0.037833 ,0.009773 ,0.032395 ,0.028985 ,0.028114 ,0.003192 ,0.002575 
0.052290 ,0.022836 ,0.043256 ,0.047493 ,0.009670 ,0.022188 ,0.036171 ,0.043048 ,0.002104 ,0.002192 
0.059583 ,0.014933 ,0.036249 ,0.038935 ,0.011495 ,0.025875 ,0.026980 ,0.029007 ,0.002865 ,0.003088 
0.046978 ,0.014751 ,0.041752 ,0.029461 ,0.012406 ,0.027537 ,0.029734 ,0.027969 ,0.004930 ,0.002415 
0.058889 ,0.020165 ,0.039910 ,0.052655 ,0.012250 ,0.036971 ,0.030235 ,0.032120 ,0.002488 ,0.001801 
0.045573 ,0.020211 ,0.054240 ,0.036279 ,0.014609 ,0.022341 ,0.024592 ,0.034946 ,0.003432 ,0.001652 
0.048956 ,0.016836 ,0.039111 ,0.034663 ,0.010668 ,0.024530 ,0.027385 ,0.033331 ,0.002331 ,0.002332 
0.050943 ,0.020813 ,0.046090 ,0.037826 ,0.010095 ,0.037298 ,0.028419 ,0.035245 ,0.002548 ,0.004038 
