Age,MeanDNE.Apex,MedianDNE.Apex,MeanDNE.Convex,MeanDNE.Concave,Proportion.DNEunder0.0001,Population
46,0.033785 ,0.009416 ,0.019275 ,0.013084 ,0.004224 ,Southeast Asian
72,0.055236 ,0.009761 ,0.017426 ,0.031304 ,0.005877 ,Southeast Asian
63,0.051302 ,0.017404 ,0.021206 ,0.015654 ,0.003985 ,Southeast Asian
55,0.032936 ,0.017300 ,0.019898 ,0.025034 ,0.003552 ,Southeast Asian
41,0.035083 ,0.012994 ,0.015875 ,0.024963 ,0.005133 ,Southeast Asian
40,0.016752 ,0.008156 ,0.014171 ,0.022598 ,0.006837 ,Southeast Asian
53,0.039239 ,0.017919 ,0.021889 ,0.015646 ,0.007322 ,Southeast Asian
77,0.022884 ,0.014356 ,0.023030 ,0.030255 ,0.006782 ,Southeast Asian
50,0.034899 ,0.007674 ,0.017040 ,0.016430 ,0.004631 ,Southeast Asian
37,0.027257 ,0.010468 ,0.016752 ,0.015504 ,0.003273 ,Southeast Asian
47,0.041302 ,0.021121 ,0.021079 ,0.017843 ,0.006032 ,Southeast Asian
74,0.035921 ,0.020193 ,0.019820 ,0.033992 ,0.005043 ,Southeast Asian
42,0.041053 ,0.013132 ,0.025195 ,0.027306 ,0.006413 ,Southeast Asian
42,0.028273 ,0.018441 ,0.017464 ,0.017581 ,0.005919 ,Southeast Asian
44,0.028394 ,0.018738 ,0.024728 ,0.020739 ,0.007333 ,Southeast Asian
49,0.027039 ,0.020898 ,0.014362 ,0.016042 ,0.006981 ,Southeast Asian
63,0.043481 ,0.016405 ,0.017136 ,0.018730 ,0.003849 ,Southeast Asian
55,0.033831 ,0.013471 ,0.016795 ,0.022897 ,0.006412 ,Southeast Asian
37,0.029562 ,0.007866 ,0.014609 ,0.015736 ,0.005317 ,Southeast Asian
40,0.030924 ,0.009855 ,0.016379 ,0.017110 ,0.006914 ,Southeast Asian
68,0.054931 ,0.014776 ,0.020501 ,0.029347 ,0.003561 ,Southeast Asian
75,0.059970 ,0.016021 ,0.025936 ,0.018576 ,0.003855 ,Southeast Asian
29,0.019904 ,0.005170 ,0.017104 ,0.013745 ,0.005775 ,Southeast Asian
26,0.019895 ,0.002588 ,0.013965 ,0.011386 ,0.006678 ,Southeast Asian
70,0.053486 ,0.019685 ,0.016294 ,0.020547 ,0.003741 ,Southeast Asian
47,0.038605 ,0.008135 ,0.021907 ,0.015920 ,0.004770 ,Southeast Asian
23,0.023108 ,0.002738 ,0.015969 ,0.015813 ,0.006973 ,Southeast Asian
78,0.042338 ,0.024003 ,0.020287 ,0.027611 ,0.002737 ,Southeast Asian
78,0.035918 ,0.015308 ,0.017167 ,0.018876 ,0.002770 ,Southeast Asian
53,0.038512 ,0.020248 ,0.020620 ,0.012528 ,0.007097 ,Southeast Asian
57,0.026047 ,0.015103 ,0.019277 ,0.024508 ,0.006240 ,Southeast Asian
64,0.043487 ,0.012077 ,0.029381 ,0.024368 ,0.004036 ,Southeast Asian
64,0.040557 ,0.021421 ,0.020150 ,0.028014 ,0.002989 ,Southeast Asian
81,0.051377 ,0.019207 ,0.025530 ,0.029177 ,0.003148 ,Southeast Asian
33,0.021836 ,0.004081 ,0.014809 ,0.015078 ,0.007620 ,Southeast Asian
56,0.032637 ,0.010314 ,0.016530 ,0.021756 ,0.006432 ,Southeast Asian
60,0.027304 ,0.012530 ,0.021603 ,0.025510 ,0.004340 ,Southeast Asian
53,0.034146 ,0.017067 ,0.020605 ,0.015513 ,0.007154 ,Southeast Asian
68,0.042166 ,0.016521 ,0.020215 ,0.021723 ,0.003787 ,Southeast Asian
59,0.043266 ,0.015323 ,0.024514 ,0.018781 ,0.005642 ,Southeast Asian
32,0.023823 ,0.007326 ,0.015313 ,0.017335 ,0.008848 ,Southeast Asian
73,0.048574 ,0.014779 ,0.023358 ,0.020975 ,0.004645 ,Southeast Asian
72,0.051060 ,0.020364 ,0.018532 ,0.023775 ,0.001471 ,Southeast Asian
33,0.023789 ,0.006217 ,0.014828 ,0.015879 ,0.008131 ,Southeast Asian
54,0.021447 ,0.010233 ,0.017528 ,0.021382 ,0.006807 ,Southeast Asian
66,0.050648 ,0.024632 ,0.024060 ,0.032318 ,0.003792 ,Southeast Asian
50,0.037580 ,0.012789 ,0.020574 ,0.026206 ,0.004365 ,Southeast Asian
51,0.031937 ,0.016254 ,0.017207 ,0.016036 ,0.003503 ,Southeast Asian
65,0.048728 ,0.009699 ,0.021198 ,0.025740 ,0.003216 ,Southeast Asian
42,0.031268 ,0.014863 ,0.023157 ,0.030506 ,0.005355 ,Southeast Asian
